loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,default
3200,3200,3200.0,36.0,7.35,99.32,0,3,10,5,41000.0,1,0,1,2.69,0.0,2.0,13.0,1.0,1989,11.8,48.0,1,0.0,1,0,0.0,0.0,1989.0,16800.0,4.0,199.0,9600.0,0.0,0.0,0.0,53.0,250.0,9.0,9.0,0.0,19.0,3.0,0.0,0.0,1.0,4.0,14.0,3.0,13.0,44.0,1.0,12.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,16800.0,1989.0,9600.0,0.0,0,0
8000,8000,8000.0,36.0,13.18,270.25,2,12,6,1,80000.0,1,0,2,9.54,0.0,1.0,4.0,0.0,4279,99.5,4.0,1,0.0,1,0,0.0,0.0,33055.0,4300.0,2.0,11018.0,21.0,99.5,0.0,0.0,8.0,99.0,15.0,8.0,0.0,15.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,35194.0,33055.0,4300.0,30894.0,0,1
25000,25000,25000.0,36.0,8.9,793.84,0,4,10,1,150000.0,2,0,1,5.18,1.0,0.0,12.0,0.0,25863,67.0,27.0,1,0.0,1,0,0.0,0.0,374959.0,38600.0,0.0,37496.0,10533.0,71.0,1.0,0.0,157.0,182.0,80.0,59.0,7.0,80.0,10.0,2.0,7.0,8.0,8.0,8.0,8.0,10.0,12.0,8.0,12.0,0.0,0.0,1.0,0.0,92.0,28.6,0.0,0.0,425250.0,25863.0,36300.0,0.0,0,0
6000,6000,6000.0,36.0,9.17,191.28,1,6,8,1,51000.0,1,0,9,16.24,1.0,0.0,9.0,0.0,8036,94.5,18.0,0,0.0,1,0,0.0,0.0,187232.0,8500.0,1.0,20804.0,427.0,94.7,0.0,0.0,105.0,171.0,9.0,9.0,4.0,42.0,5.0,0.0,6.0,7.0,6.0,7.0,3.0,7.0,11.0,7.0,9.0,0.0,0.0,0.0,1.0,88.9,100.0,0.0,0.0,302096.0,14546.0,8000.0,28487.0,0,0
35000,35000,34975.0,36.0,14.65,1207.3,2,14,3,1,200000.0,2,0,2,29.97,0.0,1.0,13.0,0.0,22936,53.0,34.0,0,0.0,1,0,0.0,0.0,404159.0,43300.0,5.0,31089.0,19364.0,54.2,0.0,0.0,169.0,289.0,1.0,1.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,12.0,14.0,5.0,15.0,4.0,13.0,0.0,0.0,0.0,3.0,97.1,50.0,0.0,0.0,498891.0,179313.0,42300.0,217061.0,0,0
7000,7000,7000.0,36.0,10.64,227.98,1,8,2,5,72000.0,0,0,2,8.2,0.0,2.0,5.0,0.0,6207,87.0,28.0,1,0.0,1,0,0.0,0.0,32870.0,7100.0,3.0,6574.0,3200.0,97.0,0.0,0.0,239.0,219.0,4.0,4.0,1.0,4.0,4.0,0.0,1.0,4.0,1.0,1.0,16.0,4.0,11.0,4.0,5.0,0.0,0.0,0.0,2.0,93.0,100.0,0.0,0.0,42795.0,32870.0,3200.0,35695.0,0,0
14000,14000,14000.0,36.0,7.89,438.0,0,4,10,1,157000.0,1,0,2,9.19,0.0,3.0,16.0,0.0,56313,7.3,22.0,1,0.0,1,0,0.0,0.0,237421.0,132800.0,6.0,15828.0,54240.0,8.7,0.0,0.0,60.0,205.0,2.0,2.0,1.0,42.0,1.0,0.0,2.0,3.0,4.0,5.0,6.0,13.0,15.0,4.0,16.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,341001.0,89032.0,59400.0,41801.0,0,0
11000,11000,10850.0,36.0,9.32,351.42,0,3,3,5,65867.36,1,0,1,19.15,0.0,2.0,11.0,0.0,4148,14.3,23.0,0,0.0,1,0,0.0,0.0,80334.5,24000.0,4.0,7416.0,4662.0,63.4,0.0,0.0,129.0,164.0,8.0,5.0,1.0,13.0,5.0,0.0,3.0,5.0,4.0,7.0,7.0,7.0,13.0,5.0,11.0,0.0,0.0,0.0,2.0,98.0,44.4,0.0,0.0,112391.0,37285.0,15000.0,31644.0,0,0
16000,16000,16000.0,36.0,10.99,523.75,1,8,0,1,72786.0,2,0,2,27.6,2.0,0.0,14.0,0.0,9798,46.4,29.0,1,0.0,1,0,0.0,0.0,120409.0,21100.0,10.0,8601.0,2800.0,65.0,0.0,0.0,151.0,281.0,9.0,6.0,8.0,9.0,9.0,0.0,3.0,6.0,4.0,5.0,9.0,8.0,12.0,6.0,14.0,0.0,0.0,0.0,2.0,89.7,25.0,0.0,0.0,159459.0,42912.0,8000.0,57172.0,0,1
31225,31225,31225.0,60.0,21.97,861.87,4,23,6,5,104000.0,2,0,2,10.72,0.0,0.0,11.0,1.0,8285,25.7,24.0,1,0.0,1,0,0.0,0.0,25146.0,32200.0,7.0,2286.0,7389.0,38.9,0.0,0.0,130.0,78.0,3.0,3.0,0.0,3.0,15.0,0.0,2.0,4.0,3.0,6.0,5.0,10.0,19.0,4.0,11.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,49600.0,25146.0,12100.0,17400.0,0,1
